date,store,product,sales,forecast,error
2012-01-06,1,1,16567.69,19005.30993624507,-2437.6199362450716
2012-01-13,1,1,16894.4,16607.119724222302,287.280275777699
2012-01-20,1,1,18365.1,18385.301545920716,-20.201545920717763
2012-01-27,1,1,18378.16,19269.11218150861,-890.9521815086118
2012-02-03,1,1,23510.49,20786.49903916712,2723.9909608328817
2012-02-10,1,1,36988.49,34101.485470674554,2887.0045293254443
2012-02-17,1,1,54060.1,38194.340466139096,15865.759533860903
2012-02-24,1,1,20124.22,18116.25732070586,2007.9626792941417
2012-03-02,1,1,20113.03,21161.50666345242,-1048.4766634524203
2012-03-09,1,1,21140.07,20357.76977786792,782.3002221320785
2012-03-16,1,1,22366.88,21408.431043835855,958.4489561641458
2012-03-23,1,1,22107.7,23242.315875732613,-1134.615875732612
2012-03-30,1,1,28952.86,25925.1804124377,3027.6795875622993
2012-04-06,1,1,57592.12,31419.324126551222,26172.79587344878
2012-04-13,1,1,34684.21,29896.789823017694,4787.420176982305
2012-04-20,1,1,16976.19,29000.031445820638,-12023.841445820639
2012-04-27,1,1,16347.6,16859.285475293324,-511.6854752933232
2012-05-04,1,1,17147.44,18604.932302636706,-1457.4923026367069
2012-05-11,1,1,18164.2,18647.507563128303,-483.3075631283027
2012-05-18,1,1,18517.79,17721.642212200433,796.1477877995676
2012-05-25,1,1,16963.55,18140.504893381298,-1176.9548933812985
2012-06-01,1,1,16065.49,19441.45332351097,-3375.9633235109704
2012-06-08,1,1,17666.0,17871.4463910152,-205.4463910152008
2012-06-15,1,1,17558.82,18084.701321794826,-525.8813217948264
2012-06-22,1,1,16633.41,17537.264756565484,-903.8547565654844
2012-06-29,1,1,15722.82,17080.982881333737,-1358.1628813337375
2012-07-06,1,1,17823.37,17449.77147880299,373.59852119700736
2012-07-13,1,1,16566.18,17960.139298725495,-1393.9592987254946
2012-07-20,1,1,16348.06,16931.28750689001,-583.2275068900108
2012-07-27,1,1,15731.18,16921.610799617996,-1190.430799617996
2012-08-03,1,1,16628.31,17573.274822027943,-944.9648220279414
2012-08-10,1,1,16119.92,17166.07214384757,-1046.1521438475702
2012-08-17,1,1,17330.7,16819.661733914025,511.0382660859759
2012-08-24,1,1,16286.4,17037.70658685291,-751.3065868529102
2012-08-31,1,1,16680.24,15817.074918713814,863.1650812861881
2012-09-07,1,1,18322.37,18136.73928726585,185.6307127341497
2012-09-14,1,1,19616.22,18622.423904772837,993.7960952271642
2012-09-21,1,1,19251.5,19834.651300327932,-583.1513003279324
2012-09-28,1,1,18947.81,19981.4382527377,-1033.628252737697
2012-10-05,1,1,21904.47,21350.5156545238,553.9543454762024
2012-10-12,1,1,22764.01,23359.75506745421,-595.7450674542124
2012-10-19,1,1,24185.27,24398.06940968259,-212.7994096825896
2012-10-26,1,1,27390.81,29435.771092769788,-2044.9610927697868
2012-01-06,1,2,44481.38,47614.50319960355,-3133.1231996035494
2012-01-13,1,2,43353.09,46619.18201304344,-3266.092013043446
2012-01-20,1,2,43753.43,46866.54500466602,-3113.1150046660186
2012-01-27,1,2,41556.23,43943.811577074055,-2387.581577074052
2012-02-03,1,2,54322.24,45027.7457712465,9294.494228753501
2012-02-10,1,2,50581.06,48640.905284561806,1940.1547154381915
2012-02-17,1,2,46085.47,50501.88493381144,-4416.414933811437
2012-02-24,1,2,47080.12,47211.640640436475,-131.5206404364726
2012-03-02,1,2,52608.51,51017.53755046496,1590.9724495350456
2012-03-09,1,2,48563.69,49639.50720591968,-1075.8172059196804
2012-03-16,1,2,47346.32,48687.218577294916,-1340.8985772949163
2012-03-23,1,2,44796.03,48344.955511793196,-3548.925511793197
2012-03-30,1,2,46529.68,47238.38658573457,-708.7065857345733
2012-04-06,1,2,51805.88,47946.21561075178,3859.664389248217
2012-04-13,1,2,43991.18,47863.404655185586,-3872.224655185586
2012-04-20,1,2,45561.85,44468.07624826218,1093.773751737819
2012-04-27,1,2,45456.23,45768.63003709787,-312.40003709786833
2012-05-04,1,2,50501.3,48626.98837503176,1874.3116249682425
2012-05-11,1,2,46717.76,47218.900528460275,-501.14052846027334
2012-05-18,1,2,44411.23,47219.29927141095,-2808.0692714109464
2012-05-25,1,2,45817.07,45904.06566450593,-86.99566450592829
2012-06-01,1,2,47425.29,48594.340993583995,-1169.0509935839946
2012-06-08,1,2,49439.58,48273.1719837262,1166.4080162738028
2012-06-15,1,2,46637.48,47578.44029757547,-940.9602975754678
2012-06-22,1,2,46075.0,48148.01652499504,-2073.016524995037
2012-06-29,1,2,47629.14,48156.42435721437,-527.2843572143684
2012-07-06,1,2,49771.92,48824.01542595479,947.9045740452057
2012-07-13,1,2,44411.95,48665.12821921579,-4253.178219215792
2012-07-20,1,2,45108.22,46027.34229890929,-919.1222989092857
2012-07-27,1,2,45008.22,45747.882530478455,-739.6625304784538
2012-08-03,1,2,49424.06,48465.543982734984,958.5160172650139
2012-08-10,1,2,46729.91,47750.51996310244,-1020.6099631024335
2012-08-17,1,2,46350.97,48410.17610622617,-2059.206106226171
2012-08-24,1,2,44972.52,47958.14024749398,-2985.6202474939855
2012-08-31,1,2,50995.5,45372.53117784005,5622.96882215995
2012-09-07,1,2,47344.5,49143.16284785067,-1798.6628478506682
2012-09-14,1,2,44493.61,46867.21054705607,-2373.6005470560704
2012-09-21,1,2,43541.07,45250.90601369369,-1709.83601369369
2012-09-28,1,2,45784.76,44541.28917066183,1243.47082933817
2012-10-05,1,2,48577.08,47848.55710232012,728.5228976798826
2012-10-12,1,2,42112.67,45938.608692866546,-3825.938692866548
2012-10-19,1,2,42354.72,43943.68927466134,-1588.9692746613364
2012-10-26,1,2,43134.88,43247.21321466836,-112.3332146683606
2012-01-06,1,3,13926.04,9945.331440839112,3980.7085591608884
2012-01-13,1,3,13822.49,13027.009338144628,795.4806618553721
2012-01-20,1,3,11702.08,13414.854292057027,-1712.7742920570272
2012-01-27,1,3,10613.17,11695.192533843987,-1082.0225338439868
2012-02-03,1,3,12485.78,11634.362982484037,851.4170175159634
2012-02-10,1,3,12388.85,12152.517975202503,236.33202479749707
2012-02-17,1,3,10237.78,12429.632663643197,-2191.852663643196
2012-02-24,1,3,10502.4,11089.780068180566,-587.380068180566
2012-03-02,1,3,11387.31,11169.699214811066,217.61078518893373
2012-03-09,1,3,11925.71,11328.914528526202,596.7954714737971
2012-03-16,1,3,8845.73,10960.596915927847,-2114.866915927847
2012-03-23,1,3,7910.22,9281.949811155519,-1371.7298111555183
2012-03-30,1,3,9129.23,8816.020446210638,313.20955378936196
2012-04-06,1,3,9335.24,9096.23694660287,239.0030533971294
2012-04-13,1,3,7927.73,8979.587965914161,-1051.8579659141615
2012-04-20,1,3,8647.36,8501.038436257068,146.321563742933
2012-04-27,1,3,8635.62,8470.582824262727,165.03717573727408
2012-05-04,1,3,10655.35,9260.756783802675,1394.593216197325
2012-05-11,1,3,10342.72,10053.779067388865,288.9409326111345
2012-05-18,1,3,8609.82,10166.721682184514,-1556.9016821845144
2012-05-25,1,3,8345.33,9102.13416956946,-756.8041695694592
2012-06-01,1,3,7175.77,9162.617573980344,-1986.8475739803434
2012-06-08,1,3,8614.64,8202.260066275698,412.37993372430174
2012-06-15,1,3,8016.26,8389.732100873447,-373.47210087344683
2012-06-22,1,3,7301.41,8109.230629849282,-807.8206298492823
